discord_uuid,discord_name,riot_id,tracker,pr,team
1182799456131895450,fortniteenjoyer,FortniteEnjoyer#4549,https://tracker.gg/valorant/profile/riot/FortniteEnjoyer%234549/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,Sneaky Golems
1188181788921712783,merrt,merrt#doom,https://tracker.gg/valorant/profile/riot/merrt%23doom/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,Sneaky Golems
703296046414954576,vix134,Solvin#6087,https://tracker.gg/valorant/profile/riot/Solvin%236087/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,Sneaky Golems
540511180876414997,wolf0057,WOLF#TRASH,https://tracker.gg/valorant/profile/riot/WOLF%23TRASH/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Sneaky Golems
503179415279370252,addsunn,addsunn#meow,https://tracker.gg/valorant/profile/riot/addsunn%23meow/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Sneaky Golems
718239639428923392,dilligent12,itachi#tuff,https://tracker.gg/valorant/profile/riot/Itachi%23tuff/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,doug
956767866504482856,fraudulent0200,lettuce#miow,https://tracker.gg/valorant/profile/riot/lettuce%23miow/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,doug
1305653170768445621,littlebeo927,bobbysauce#mild,https://tracker.gg/valorant/profile/riot/bobbysauce%23mild/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,doug
450829760117866510,natelb3,nate#valo,https://tracker.gg/valorant/profile/riot/nate%23valo/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,doug
422867004098084884,deron0293,DKgaz YT#Gay,https://tracker.gg/valorant/profile/riot/DKgaz%20YT%23Gay/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,doug
647998719706398721,vic.bum,vic#Tubby,https://tracker.gg/valorant/profile/riot/vic%23Tubby/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,bRATz
700207749119606845,yulisa7634,yuhlisa#NA1,https://tracker.gg/valorant/profile/riot/yuhlisa%23NA1/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,bRATz
276899027314933760,ntry,Ntry#bang,https://tracker.gg/valorant/profile/riot/NTry%23bang/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,bRATz
616814483947651073,haaj,haaj#yona,https://tracker.gg/valorant/profile/riot/haaj%23yona/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,bRATz
526239897171001354,luv.em,3mxter#void,https://tracker.gg/valorant/profile/riot/3mxter%23void/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,bRATz
442472566972743680,doomvlr,NOT doom#NOT,https://tracker.gg/valorant/profile/riot/NOT%20doom%23NOT/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,NOT winning
